station,nan_time_count
SFINCS_0910_Kitsap,25728
SFINCS_0911_Kitsap,25728
SFINCS_0912_Kitsap,26448
SFINCS_0913_Kitsap,25728
SFINCS_0914_Kitsap,25728
SFINCS_0915_Kitsap,25728
SFINCS_0916_Kitsap,25728
SFINCS_0917_Kitsap,25728
SFINCS_0918_Kitsap,25728
SFINCS_0919_Kitsap,25728
SFINCS_0920_Kitsap,25728
SFINCS_0921_Kitsap,25728
SFINCS_0922_Kitsap,25728
SFINCS_0923_Kitsap,25728
SFINCS_0924_Kitsap,25728
SFINCS_0925_Kitsap,25728
SFINCS_0926_Kitsap,25728
SFINCS_0927_Kitsap,25728
SFINCS_0928_Kitsap,25728
SFINCS_0929_Kitsap,25728
SFINCS_0930_Kitsap,25728
SFINCS_0931_Kitsap,25728
SFINCS_0932_Kitsap,25728
SFINCS_0933_Kitsap,25728
SFINCS_0934_Kitsap,25728
SFINCS_0935_Kitsap,25728
SFINCS_0936_Kitsap,25728
SFINCS_0937_Kitsap,25728
SFINCS_0938_Kitsap,25728
SFINCS_0939_Kitsap,25728
USGS_Lofall,14784
